UserID,FirstName,LastName,Email,PhoneNum,Status,ORG_ID,ROLE_ID
U001,Emma,Taylor,emma.taylor@company.com,5552578803,0,ORG002,R001
U002,Thomas,Jackson,thomas.jackson@company.com,5555547291,0,ORG003,R005
U003,Thomas,Wilson,thomas.wilson@company.com,5550133884,0,ORG003,R001
U004,Robert,Jones,robert.jones@company.com,5557425433,0,ORG004,R007
U005,Thomas,Martinez,thomas.martinez@company.com,5556731904,0,ORG002,R001
U006,David,Moore,david.moore@company.com,5551522973,1,ORG005,R007
U007,William,Johnson,william.johnson@company.com,5550657122,0,ORG004,R001
U008,David,Jackson,david.jackson@company.com,5550726061,0,ORG005,R001
U009,James,Moore,james.moore@company.com,5559956597,0,ORG004,R001
U010,Robert,Moore,robert.moore@company.com,5552719581,0,ORG006,R005
U011,William,Martinez,william.martinez@company.com,5553642397,0,ORG001,R005
U012,Jessica,Smith,jessica.smith@company.com,5550549157,0,ORG005,R002
U013,Amanda,Brown,amanda.brown@company.com,5551237161,0,ORG001,R001
U014,Jennifer,Wilson,jennifer.wilson@company.com,5554444416,0,ORG005,R005
U015,Richard,Brown,richard.brown@company.com,5556754843,0,ORG001,R007
U016,Thomas,Thomas,thomas.thomas@company.com,5559241030,0,ORG001,R001
U017,Maria,Miller,maria.miller@company.com,5558378294,0,ORG001,R001
U018,James,Williams,james.williams@company.com,5552941545,0,ORG003,R005
U019,Richard,Thomas,richard.thomas@company.com,5555186855,0,ORG006,R005
U020,Amanda,Jones,amanda.jones@company.com,5557598286,0,ORG003,R004
U021,Thomas,Martinez,thomas.martinez@company.com,5556009634,0,ORG006,R006
U022,Emma,Brown,emma.brown@company.com,5550729720,0,ORG005,R003
U023,Thomas,Brown,thomas.brown@company.com,5551226133,0,ORG005,R006
U024,Jennifer,Taylor,jennifer.taylor@company.com,5553272170,0,ORG002,R001
U025,Maria,Brown,maria.brown@company.com,5559588009,0,ORG001,R007
U026,John,Davis,john.davis@company.com,5554026204,0,ORG003,R003
U027,Maria,Garcia,maria.garcia@company.com,5550947494,0,ORG002,R001
U028,Maria,Johnson,maria.johnson@company.com,5555100280,0,ORG003,R002
U029,Jennifer,Brown,jennifer.brown@company.com,5551258003,0,ORG006,R003
U030,Robert,Jackson,robert.jackson@company.com,5556172504,0,ORG002,R003
